,content
558,Spice up your sex life with these 5 foods: http://ow.ly/IxXPm http://pbs.twimg.com/media/B9FwsQCCIAAgmAp.jpg
559,Study: More time in the kitchen = INCREASED risk for heartdisease &amp; diabetes. What's going on? http://ow.ly/IxZYK
560,"5-10% of people diagnosed w/ dementia might actually have a treatable condition, reports magalyolivero http://ow.ly/Iy7i5"
561,Stressed about money? You're not alone - esp. if your family makes &lt; $50K says APA http://ow.ly/IxqdZ http://pbs.twimg.com/media/B9F_fkICAAEH_zd.png
562,RT usnews: Health insurance company Anthem has been hacked: http://ow.ly/IxVGN http://pbs.twimg.com/media/B9FwlExCQAEVURW.jpg
563,Morphine and kids don't mix. What does? http://ow.ly/IyECz parenting
564,News flash: 1 cup chopped red bell pepper has nearly 3X more vitamin C than an orange http://ow.ly/IyGx8
565,"10 Habits to Help You Be a Happier, Healthier Cook by JanetHelm http://ow.ly/Iy1yk cooking"
566,No joke: The smell of licorice increases blood flow to the penis by 13% http://ow.ly/Iy3gO
567,"Don't forget! Tomorrow is ""National Wear Red Day"" &amp; the RedHeartChat  11am EST! http://pbs.twimg.com/media/B9G-Yv2CcAAoQo9.png"
568,More than 200 symptoms are associated with PMS. Are yours normal? http://ow.ly/Iy10H
569,Are you eating TOO healthfully? It's possible. http://ow.ly/IzkwW
570,"Our commitment to fight Alzheimers has changed a lot in 20 years, but the budget hasn't. http://ow.ly/IzlZv"
571,greatist Eat + Run! http://ow.ly/IzSz8
572,What's a patient navigator? lisaespo has the scoop: http://ow.ly/Izpdi patientnavigation cancer healthcare
573,RT American_Heart: Are you wearing RED tomorrow? Let's talk. Join us tomorrow at 11am EST for a RedHeartchat http://pbs.twimg.com/media/B9HUDlEIEAAzVmZ.png
574,RT HHSGov: FRI  11 AM ET: Join nih_nhlbi USNewsHealth American_Heart TheHeartTruth GoRedForWomen for a RedHeartChat. http://t.co/DP…
575,"Did you know? Forced exercise has the same mentalhealth benefits as doing it voluntarily (in rats, at least): http://ow.ly/IzpSp"
576,Is it dementia or normal pressure hydrocephalus? http://ow.ly/IzPkl aging memory
577,"If you're a parent, put these 5 childhood ailments on your radar: http://ow.ly/IzPFd parenting"
578,Should seniors follow the same healthy diet as their adult children? http://ow.ly/IzPVj
579,Don't forget to wear red for HeartHealth today! http://ow.ly/IzSnD
580,Why start a diet you can't follow? We ranked the easiest here: http://ow.ly/IzS0G
581,RT Steph_Steinberg: Celebrate NationalWearRedDay with a heart-healthy diet (try these: http://health.usnews.com/best-diet/best-heart-healthy-diets) and join USNewsHealth's …
582,RT American_Heart: We're chatting with heart health experts TODAY at 11amEST. Join us! RedHeartChat http://pbs.twimg.com/media/B9Ko7PGIIAAilbX.png
583,Don't forget: RedHeartChat is happening today at 11am ET! Join the conversation as we discuss hearthealth w/ carlahall &amp; nih_nhlbi
584,"RT angelahaupt: I'm moderating the RedHeartChat today at 11 a.m. Join us + GoRedForWomen, TheHeartTruth + more! http://pbs.twimg.com/media/B9K4w6KIcAAwlOa.jpg"
585,RT lauraemcmullen: Heart disease = No. 1 killer of women in the US. Join the RedHeartChat 11 am ET today w/ USNewsHealth to learn more.
586,RT Steph_Steinberg: We're celebrating WearRedDay at USNewsHealth! Join our RedHeartchat at 11 am ET http://pbs.twimg.com/media/B9LAPLzCcAExqHz.jpg
587,Welcome to the National WearRedDay® Twitter Chat! RedHeartChat
588,"Today we have a number of experts, organizations and even a professional chef joining us to discuss heart health! RedHeartChat"
589,Our co-hosts today are GoRedForWomen and TheHeartTruth RedHeartChat
590,"Lastly, we would like to thank our celebrity guest host, American chef and TV personality carlahall for joining us today! RedHeartChat"
591,"Finally, thank you to all those following along today! Join in w/ questions and comments using RedHeartChat"
592,Q1: We are having this chat in support of National WearRedDay. What is the importance or significance of this day? RedHeartChat
593,RT TheHeartTruth: A1: National WearRedDay was created to help raise awareness of heart disease as the 1 killer of American women. RedHe…
594,"RT GoRedForWomen: A1: National WearRedDay is about much more than wearing red, it’s about making a change for your heart health and life …"
595,RT carlahall: . USNewsHealth A1 We need to spread awareness so all women know the risk factors and warning signs of cardiovascular diseas…
596,RT GoRedForWomen: A1: 1 in 3 women die each year of heart disease and stroke—80% of which are preventable with education and lifestyle cha…
597,"RT NIH: A1 Heart disease costs the US $108.9 billion annually w/ health care services, medications &amp; lost productivity. RedHeartChat"
598,Q2: Who is most at risk for heart disease and stroke? RedHeartChat
599,"RT nih_nhlbi: A2: &amp; only 36% of African American women know it’s their 1killer, compared to 65% of Caucasian women. http://t.co/3FWW8YZST…"
600,"RT American_Heart: A2: Of African-American women ages 20 and older, 48.9% have cardiovascular disease. Yet, only 20% believe they are at r…"
601,Q3: What are ways to reduce your risk for heart disease and stroke? RedHeartChat
602,"RT GoRedForWomen: A3: Eating whole foods, fruits and veggies with 150 minutes of exercise per week greatly reduces heart risk RedHeartChat"
603,RT NIH: A3 47% of sudden cardiac deaths occur outside a hospital. Act on the warning signs: http://1.usa.gov/16vZ3XF  RedHeartChat
604,RT GoRedForWomen: A3: Sleep can impact your heart health. The AHA recommends adults get 6-8 hours a night. Are you getting enough? redhea…
605,"RT TheHeartTruth: A3: The first step is to taking action is knowing your risk! Know your numbers: BP, cholesterol, BMI, blood sugar. RedH…"
606,RT nih_nhlbi: A3: Having an open conversation with your doctor will also help you set and achieve goals to improve your health. RedHeartC…
607,Q4: Smoking is a known risk factor. How badly does smoking increase your risk of heart disease? RedHeartChat
608,RT GoRedForWomen: A4: It may surprise you to learn that smoking increases the risk of heart disease and stroke by 2 to 4 times. redheartc…
609,RT TheHeartTruth: A4: And smoking increases your risk of suffering a heart attack—a lot. RedHeartChat http://pbs.twimg.com/media/B9LKeTzCQAAteEE.jpg
610,"RT NIH: A4: Smoking raises your blood pressure which puts stress on your heart, causing your heart to weaken. RedHeartChat"
611,"RT GoRedForWomen: A4: Also, women who smoke have a 25% higher risk of developing heart disease as compared to men who smoke redheartchat"
612,Q5: Quitting smoking can be hard to do. For those trying to stick to 2015 resolutions what are some ways to quit? RedHeartChat
613,RT NIH: A5: Talking w/a professional can help you quit smoking. Get the help by calling 1-800-QUIT-Now or at http://smokefree.gov/ RedHe…
614,"RT TheHeartTruth: A5: Focus on the benefits of quitting—like money saved, and better health. http://owl.li/Ieuc4 RedHeartChat"
615,"RT carlahall: A5: Whichever path you take, you will receive many health benefits including a healthier heart!  RedHeartChat"
616,RT nih_nhlbi: A5: You might also find new activities to replace smoking. Try taking a brisk walk during your old smoke breaks. RedHeartCh…
617,Q6: Heart-healthy eating can be tough. How do you encourage your family to eat heart healthy? What tips do you have? RedHeartChat
618,"RT carlahall: A6: I love cooking with fish. It’s so good for you and you can cook it so many different, healthy ways! RedHeartChat"
619,RT TheHeartTruth: A6: Watch out for portion distortion! Many foods have a lot more calories now than you think: http://owl.li/IeJqy Re…
620,RT NIH: A6: NIH is seeing if we can reprogram the brain to curb sugar cravings. Check out NIHDirector post: http://1.usa.gov/1CyG50g RedH…
621,"RT carlahall: A6: It’s not always about saying no to certain foods, it’s about saying yes to moderation! RedHeartChat"
622,RT American_Heart: A6: Foods equal in fiber and sugar help your body metabolize fat in a healthy way and create lasting energy for your bo…
623,RT nih_nhlbi: A6: Drink more water &amp; less sugary drinks when you’re thirsty. More tips on smart drinking: http://owl.li/IeKZm RedHeart…
624,Q7: We know exercise is important. How does it improve heart health and what are tips to stay active with a busy schedule? RedHeartChat
625,RT TheHeartTruth: A7: Following a healthy diet isn't enough! Physical inactivity alone increases your heart disease risk. RedHeartChat ht…
626,"RT GoRedForWomen: A7: Exercising helps reduce blood pressure, lose weight, boosts energy, improves cholesterol levels &amp; helps manage stres…"
627,"RT GoRedForWomen: A7: In addition, staying active reduces coronary heart disease in women by 30-40 percent! That is a big difference! red…"
628,RT carlahall: A7: My schedule is very busy but I exercise regularly and love to set goals and challenges for a 30-day period of time! Red…
629,RT NIH_ORWH: A7: Women can be active at any age. Get creative and fun tips for adults ages 50+ from NIAGo4Life. http://go4life.nia.nih.gov/ R…
630,Q8: How can we get involved and spread the message of a heart-healthy lifestyle with the women (and men) in our life? RedHeartChat
631,RT carlahall: A8: Heart health must begin at a young age. Creating habits early will only improve your chances of retaining a healthy life…
632,RT TheHeartTruth: A8: Make heart health a family affair! Talk w/ your loved ones about heart disease and make lifestyle changes to stay he…
633,RT US_FDA: A8: Get the facts on heart disease and how you can prevent it. RedHeartChat http://go.usa.gov/htnQ http://pbs.twimg.com/media/B9LQP5XIMAEH5-X.jpg
634,RT NIH: A8: Lead by example. Getting heart healthy starts w/ you. Talk to your doctor about your risks &amp; encourage those around you  RedH…
635,Q9: What community programs or events are you involved in? What heart healthy resources do you use? RedHeartChat
636,"RT NIH: A9: ClinicalTrials r always looking for healthy volunteers. Improve research, get involved in health! http://1.usa.gov/1iIi4Ju Re…"
637,RT American_Heart: A9: February is National Heart Month and there are ways to get involved all month long RedHeartChat
638,RT GoRedForWomen: A9: Share your GoRedSelfie to support the movement to end heart disease and stroke in women  redheartchat
639,RT GoRedForWomen: A special thank you to CarlaHall for joining us! We hope you watch her rock the runway at the Red Dress Collection! re…
640,"Thanks for a great, informative chat. Happy WearRedDay! -- the usnews Health team. RedHeartChat"
641,RT nih_nhlbi: Thanks for participating in RedHeartChat! Follow NHLBI all year-long for tips on improving heart health
642,RT GoRedForWomen: Women are strong. We are smart. We solve problems. Women can do anything men can do  redheartchat
643,RT TheHeartTruth: Thank you to everyone for joining us today for this RedHeartChat! We hope you will continue to spread the message.
644,"RT carlahall: Thank you! This cause is very close to my heart and all women should know the risks, glad to be involved!  RedHeartChat"
645,We've ranked the DASH diet No. 1 year after year. Why does no one know what it is? http://ow.ly/ICKi0
646,Is your low testosterone worth treating? http://ow.ly/ID71K
647,RT CraneKristine: Looking for a nursing home resident to interview about his/her experience there; or a family member. Email: KCrane@usnew…
648,The 5 Best Foods for a Breakup by TobyAmidor http://ow.ly/ID9Jy
649,"RT SophSherry: Don't get heartbroken AND fat, here are the 5 best foods for a breakup: http://bit.ly/1EMooLm USNewsHealth"
650,What's the opposite of burnout? Thriving! How to do that at work. http://ow.ly/IDaj9 http://pbs.twimg.com/media/B9MLZO1CAAAMnbS.jpg
651,"Biologics can treat cancer &amp; autoimmune diseases. But their costs are prohibitive, reports LacieJaeGlo http://ow.ly/IDc08"
652,Sick of clipping coupons? 11 other ways to save at the grocery store: http://ow.ly/IDeJ3
653,Are the risks of testosterone treatment worth it? http://ow.ly/IDcWF menshealth
654,Sent home too soon? The method behind the madness of hospital discharge: http://ow.ly/IFnG6 healthcare
655,3 tips for finding your most effective workout: http://ow.ly/IFubw
656,RT leonardkl: A detailed look at the mumps portion of the MMR vaccine: http://bit.ly/1ENZtHm. measles
657,4 Healthy Strategies to Thrive at Work by pauladavislaack http://ow.ly/IFuSM
658,RT ih8exercise: We (of course) love this USNewsHealth story: Confession: I Hate Exercise. (Read to see why.) http://bit.ly/1zhBn4z
659,5 foods to spice up your love life: http://ow.ly/IFv4P
660,Is it really dementia? Maybe not. http://ow.ly/IFvCj
661,See how your stress levels stack up against most Americans: http://ow.ly/IFvPh
662,"RT Steph_Steinberg: Ice cream is OK, but so are salmon and almonds. The 5 Best Foods for a Breakup http://t.usnews.com/Z6j1e8 via tobyamidor"
663,"Stop clipping coupons, and start doing this when grocery shopping: http://ow.ly/IFynH"
664,Prostate cancer treatment: surgery or radiation? http://ow.ly/IFxpa
665,RT MSNHealth: How Food Can Spice Up Your Sex Life This Valentine’s Day http://on-msn.com/16BjW3t ValentinesDay USNews USNewsHealth
666,"Do you know what causes cancer? If so, you're doing better than most Americans. http://ow.ly/IFxwj"
667,"For 5 years, experts have ranked DASH diet No. 1. But it's still ""obscure."" http://ow.ly/IHb05"
668,Do you know what a health coach is? Let WholeGreenYou explain. http://ow.ly/IFxDN
669,"Fresh, frozen, canned or dried? How to pick produce like a dietitian: http://ow.ly/IHcJV"
670,8 questions to ask before hip replacement surgery: http://ow.ly/IHb9S
671,Should you jump on the bone broth bandwagon? http://ow.ly/IHcSJ
672,Getting fit this year? 4 traps not to fall for. http://ow.ly/IHdCY
673,Should you treat your low testosterone? http://ow.ly/IHekj menshealth
674,Did you get dressed in the dark? Just one of the ways you're waking up wrong. http://ow.ly/IHdmt http://pbs.twimg.com/media/B9Z9uhpCYAA4osO.jpg
675,How to turn your Mondays from manic to marvelous: http://ow.ly/IHdOx MondayFunday
676,When fitspiration backfires: http://ow.ly/IJXbI
677,How to date on a diet: http://ow.ly/IK0WO dieting dating
678,Want to make an extra $6K this year? Study says: Get an extra hour of sleep each night! http://ow.ly/IK1q6 success
679,RT leonardkl: Did you know that the HPV vaccine is approved for men? I did not! Why don't we vaccinate men more? Story coming later toda…
680,We know what works to prevent chronic diseases. Why aren't we doing it? DrDavidKatz's take: http://ow.ly/IL1h9
681,RT angelahaupt: Fitspo = more harm than good? http://t.usnews.com/Z6kyuy
682,"Turns out, food CAN help heal a broken heart. The 5 best foods for a breakup: http://ow.ly/IL5be"
683,RT ElizabethRenter: How proper sleep spells success. My latest for USNewsHealth and nerdhealth http://health.usnews.com/health-news/health-wellness/articles/2015/02/09/a-good-nights-sleep-is-the-secret-to-success
684,RT AASMOrg: Quality sleep is a secret to success http://ow.ly/IL4LD
685,RT AnnaMedaris: How to keep your dating life spicy w/out derailing your diet: http://ow.ly/IK4H1 (Thanks ToreyRD JeffNimoy drdiana)
686,6 Diet Tips for Business Travelers: http://ow.ly/IL6WA
687,RT Steph_Steinberg: Who knew? Red peppers have 3x more vitamin C than oranges. More food tricks we fall for: http://t.usnews.com/Z6bx60
688,17% of Americans believe they can't do anything to lower their cancer risk. They're wrong. http://ow.ly/ILcrY
689,RT thatcaseyquin: 4 Healthy strategies to thrive at work instead of burning out: http://t.usnews.com/Z6fh8w USNewsHealth
690,Missed the RedHeartChat? Here's the experts' advice on preventing heartdisease in women: http://ow.ly/ILlSH
691,RT MayoClinic: Avatar mice: Advancing cancer therapies http://mayocl.in/192v1wc via USNewsHealth
692,Why recover from surgery slowly &amp; in pain when you can do it the European way? http://ow.ly/IMDqM
693,RT angelahaupt: Avatar mice are advancing cancer therapies + it's pretty cool: http://t.usnews.com/Z6hnsp
694,5 Foods That Won't Break Your Heart: http://ow.ly/IO366
695,"News flash: HPV vaccine doesn't lead to riskier sex for women, reports leonardkl http://ow.ly/IO6ps"
696,"It's not you, it's the diet! 4 Reasons Why Diets Don't Work: http://ow.ly/IO3qu"
697,Get paid to sleep! Just 1 more hour a night can boost your earnings 16% http://ow.ly/IO3JB
698,"How realistic (or not) are those testosterone treatment commercials, anyway? http://ow.ly/IO43Y"
699,"Single with food restrictions? This one's for you: ""How to Date on a Diet"" by annamedaris http://ow.ly/IO4xT"
700,"Cancer, MS &amp; Crohn's are treated best w/ biologics. But they can cost more than $45K a year. http://ow.ly/IPqo6"
701,"Learn the difference between BDSM &amp; IPV before watching ""50 Shades of Grey"" http://ow.ly/IPrpf"
702,"Infertility isn't always a women's issue, CraneKristine reports: http://ow.ly/IPRbR"
703,RT usnews: Scientists have answered the most important question of modern times: http://ow.ly/IQ5xZ http://pbs.twimg.com/media/B9g3bDNIgAEYThN.jpg
704,Want to avoid heartbreak this Valentine's Day? Try starting with your diet.  http://ow.ly/IQe4D
705,Want to lower your risk of all major chronic diseases by 80%? Do these 4 things. http://ow.ly/IQeua
706,"If you were able to vaccinate every single male, then [HPV] wouldn't be a problem.  http://ow.ly/IQfmm"
707,Where does that urine sample go? lisaespo goes behind the scenes of hospital labs: http://ow.ly/IQfMk
708,"Some ""inspirational"" fitness messages go too far. http://ow.ly/IQgBw fitspo"
709,5 Ways to Save on Your WeightLoss Goals: http://ow.ly/IQgQi
710,Be a Job Crafter &amp; 3 other healthtips for thriving at work: http://ow.ly/IQh6b
711,"It's official: Pretty much everyone does yoga, new survey finds. http://ow.ly/IQiZs http://pbs.twimg.com/media/B9kPvkmCUAAVsUk.jpg"
712,How much does timing of meals matter for weightloss? http://ow.ly/IQhBS
713,How to Be More Mindful at Work: http://ow.ly/IQhRb mindfulness careeradvice
714,10 Ways Nutritionists Enjoy Chocolate by KeriGans http://ow.ly/ISSz2
715,EXCLUSIVE: Are doctors performing too many angioplasties? You be the judge: http://ow.ly/ISV6s
716,The Anatomy of a Broken Heart: http://ow.ly/IT5MN  heartbreak valentinesday http://pbs.twimg.com/media/B9k_0hMIYAEDfuB.jpg
717,"Embrace the cold, dark winter – and embrace yoga, yogawithjake says: http://ow.ly/IT7K0"
718,Got indoor allergies? Here's the moldy truth about 'em. http://ow.ly/ITp76
719,"RT lisaespo: Before you have that angioplasty, read this by StevenSternberg in usnews  http://bit.ly/1Ch5s1m"
720,"It's not just you: WAY more people are doing yoga these days, a survey finds. http://ow.ly/ITqUI"
721,Nearly half of couples' infertility problems involve the man. http://ow.ly/ITqiY
722,"Did you know that ""broken heart syndrome"" is an actual medical condition? http://ow.ly/ITaCg"
723,Are some docs regularly performing unnecessary cardiac procedures? usnews investigates: http://ow.ly/IU8m3
724,RT Steph_Steinberg: Incredible data dive by StevenSternberg. Are Doctors Exposing Heart Patients to Unnecessary Cardiac Procedures? http:…
725,Heal your heart with these 5 (healthy) foods: http://ow.ly/IU6Oy
726,Sent home too soon? CraneKristine explores the art of hospital discharge: http://ow.ly/IUdrt
727,"Why 10,000 Steps a Day Won't Make You Thin by YoniFreedhoff http://ow.ly/IUfhb"
728,"RT lisaespo: Meanwhile, don't read this one (on household mold) until after lunch. http://fb.me/3vTC04M6l"
729,When is surgery the best option for spinal stenosis? http://ow.ly/IWjQE
730,How much protein do you really need &amp; what foods are best? eatsmartbd breaks it down. http://ow.ly/IWGlm http://pbs.twimg.com/media/B9p6ObeCUAA5WMg.jpg
731,Is massage a legit treatment for some medical conditions? http://ow.ly/IWM0k
732,How to cope with a breakup on Valentine's Day: http://ow.ly/IXrUt
733,We're hiring a patient advice reporter! http://ow.ly/IXEme journalismjobs jobs journalism
734,Is your home a refuge from allergies – or the source? http://ow.ly/IXGxd
735,"Too dark and cold is WHY you should be doing yoga in the winter, not an excuse. http://ow.ly/IT7K0"
736,How to eat chocolate like a nutritionist: http://ow.ly/IXHu5 yum
737,"RT angelahaupt: ""Honey, turn on the Keurig!"" You'll enjoy LupusChickcom's piece for us on aphrodisiacs: http://t.usnews.com/Z6fh3a"
738,Is that cardiac procedure really necessary? http://ow.ly/IY6wD
739,"If you get your honey a massage for ValentinesDay, you may be helping their health, too. http://ow.ly/IY7M4"
740,"Got allergies, celiac or following paleo? Don't let your diet hold back your dating! http://ow.ly/IY4F0"
741,It would be bad enough if we were doing this to ourselves. We are doing this to [our children. - DrDavidKatz http://ow.ly/IYasI
742,Go to bed! Your salary could get a boost: http://ow.ly/IY8cn
743,6 uses for unsweetened cocoa from MelindaRD http://ow.ly/J0fn9
744,Massage as medicine? How the technique is used to treat back pain &amp; other issues. http://ow.ly/J0gu9
745,"Planning to see ""#50Shades of Grey"" tonight? Learn the truth about BDSM first: ttp://ow.ly/J0gBc"
746,More steak for grandma! New study finds older adults should double their protein intake: http://ow.ly/J0vtZ
747,Should you get surgery for spinal stenosis? http://ow.ly/J0hu6
748,"Hate exercise? Then you must hate sex too, one expert argues. http://ow.ly/J0he8"
749,When is sex safe after heart bypass surgery? lisaespo has the dirty details. http://ow.ly/J1It0 http://pbs.twimg.com/media/B9vzr4mCUAAEHKs.jpg
750,How can you tell if your kid is sleeping enough? http://ow.ly/J2bs1 http://pbs.twimg.com/media/B9wTarYCcAAWZyg.jpg
751,RT lisaespo: On getting safely 'unzipped' after heart bypass surgery: http://bit.ly/1FHPD7u
752,Fall in love with cocoa with these creative combos from MelindaRD http://ow.ly/J2er3 chocolate
753,Everything you need to know about male infertility from CraneKristine http://ow.ly/J2eVn
754,The 5 Best Foods for a Breakup from TobyAmidor http://ow.ly/J2fYa
755,"Lots of people read things that sound sexy in fantasy, but are not so safe or fun in reality. http://ow.ly/J2gIp 50ShadesOfGrey"
756,Spice up your Valentine's Day with these 5 aphrodisiacs: http://ow.ly/J2hDi
757,Is your relationship making you fat? http://ow.ly/J2hU5
758,Surprise your honey with a cocoa-rubbed steak tonight! http://ow.ly/J2hqU
759,The Anatomy of a Broken Heart: http://ow.ly/J3QcC
760,How can you tell if your kid is getting enough sleep? http://ow.ly/J3Qhb
761,"RT Steph_Steinberg: If I weren't a vegetarian, I'd try this cocoa steak rub recipe: http://t.usnews.com/Z6qpia via MelindaRD"
762,How to call a truce &amp; build a healthy relationship with food: http://ow.ly/J3Qpc
763,RT Steph_Steinberg: Is sex after heart surgery ok? lisaespo answers questions patients may not want to ask the doc http://t.usnews.com/Z6q465
764,Eat chocolate like the nutritionists! Their favorite ways to take it here: http://ow.ly/J4bqB
765,Why older adults should double their protein intake: http://ow.ly/J5qba
766,Massage: Just a nice treat -- or a legit therapy? http://ow.ly/J7Ota
767,Sleep-Starved Kids: The Dangers of Catching Too Few Winks: http://ow.ly/J7RL1
768,5 Things to Do When Healthy Resolutions Fail: http://ow.ly/J7UfV
769,Why You Should Fall for Cocoa (&amp; 6 delicious ways to eat it!) http://ow.ly/J7WmJ http://pbs.twimg.com/media/B9-1eXyCMAAiMfa.jpg
770,What are the best diets for healthy eating? http://ow.ly/J8eLP
771,Are docs performing unnecessary heart procedures? http://ow.ly/J8lOq
772,A fine for obesity? It might happen in Puerto Rico. http://ow.ly/J8uSH
773,Did you know a little 8-ounce steak has all the protein you need for the day? http://ow.ly/J8NaI
774,How to ignite your yoga practice in the dead of winter: http://ow.ly/J8NRH
775,What are the best hospitals in Washington DC? http://ow.ly/J8PzN
776,How to pick the best diet for you. http://ow.ly/J8PPF
777,What's the difference between BDSM &amp; what's portrayed in 50Shades of Grey? http://ow.ly/J8Q3K
778,What not to say to someone with an eating disorder: http://ow.ly/J8QSv
779,Can dietary changes improve erectile dysfunction? tamaraduker says yes! http://ow.ly/JbtKv
780,Feeling crabby? Maybe it's snow rage. Here's how to cope. http://ow.ly/Jbus9 http://pbs.twimg.com/media/B-DhaxnIMAA9FR6.jpg
781,"Why diets shouldn't tell you what not to eat, by DrSherryPagoto http://ow.ly/JcaAh"
782,Are you making these 4 standing desk mistakes? http://ow.ly/Jceti
783,RT angelahaupt: DrSherryPagoto on her new weight-loss study – and why diets shouldn't tell you what NOT to eat. http://t.usnews.com/Z6ve15
784,Why older adults should double their protein intake for better health: http://ow.ly/Jd90K
785,Is your diet ruining your dating life? annamedaris has 7 tips to keep both on track. http://ow.ly/Jd9nL
786,Maybe you don't need a pill for erectile dysfunction after all. http://ow.ly/Jd9zD
787,"Some ""motivational"" fitness phrases &amp; images are just the opposite. http://ow.ly/Jdhsd"
788,"If winter is your allergy season, lisaespo has survival tips for you. http://ow.ly/JdhDZ"
789,"RT angelahaupt: Sex after heart bypass surgery: The ‘zipper’ on your chest should stay zipped, but not your clothes. http://t.usnews.com/Z6q465"
790,Which is Worse: Fat or Sugar? http://ow.ly/JdL1v http://pbs.twimg.com/media/B-FhgKiCYAA5UGz.jpg
791,Attention procrastinators! Some people might get an extension on the deadline for health insurance sign-ups: http://ow.ly/JdOaK
792,"RT laurenboyer: People are having sex after heart bypass surgery, and USNewsHealth is ON IT: http://health.usnews.com/health-news/patient-advice/articles/2015/02/13/sex-after-heart-bypass-surgery"
793,"Your kids are in bed for enough hours, but are they actually sleeping? http://ow.ly/JdP37 sleep"
794,Hot oatmeal w/ mango mousse &amp; raspberries &amp; 2 other plant-based breakfast ideas: http://ow.ly/JfqIc
795,Fitness &amp; nutrition at hotels have gotten a serious upgrade. ElenaSonnino has the scoop: http://ow.ly/JfrYC
796,Is it asthma or COPD? lisaespo breaks it down. http://ow.ly/JfZgv
797,"This year, the federal government will reconsider the Child Nutrition Act. chefannc on what's at stake: http://ow.ly/Jg3VX"
798,"Bath time for babies is cute, but it has developmental benefits, too. http://ow.ly/Jg4s2 parenting http://pbs.twimg.com/media/B-I7AAUIYAEjvwK.jpg"
799,RT ElenaSonnino: Fitness goes hand in hand w/travel at hotels like Kimpton FourSeasons Westin USGrantHotel http://ow.ly/JfrYC
800,Reinforcing healthy behavior (&amp; ignoring unhealthy behavior) works. Diets do the opposite. http://ow.ly/Jgz8U
801,"RT leonardkl: In the final day of second open enrollment they had more sign up than any day last year, says SecBurwell. Obamacare"
802,When is surgery the best option for spinal stenosis? http://ow.ly/Jgzw1
803,"Anti-vaxxers aren't just in the U.S., reports tmawelsh http://ow.ly/JgE2W vaccines"
804,RT angelahaupt: Is it asthma of COPD? The differences aren't always clear-cut. lisaespo on how to tell: http://t.usnews.com/Z6vi2q
805,"Before you take a pill, try lifestyle changes to improve erectile dysfunction. http://ow.ly/JgCEv ED"
806,Ditch the coupons &amp; try this grocery scanning apps instead: http://ow.ly/JgERm via usnewsmoney
807,RT ElenaSonnino: Fitness goes hand in hand w/travel thanks to unique hotel wellbeing programs via USNewsHealth http://ow.ly/Jgc7I
808,Relax! It's doctor's orders. Kristin Fawcett explores the health benefits of massage: chttp://ow.ly/JhQuc
809,"Fined for having obese kids? In some parts of the world, it may happen. http://ow.ly/JhReU"
810,RT leonardkl: Should a woman be allowed to sign up for health insurance when she becomes pregnant? Now she can't. http://bit.ly/1Lc9kWr
811,5 Healthy Habits for Happy Hearts: http://ow.ly/JjO3A hearthealth
812,RT USNewsTravel: Which hotels rise above when it comes to fitness &amp; nutrition? Kimpton FourSeasons + Westin: http://ow.ly/JjNWg
813,"Don't drink your energy, eat it! Brendan_Brazier suggests these 10 foods: http://ow.ly/JjWnJ"
814,Stuck inside? Try these 8 fitness apps. http://ow.ly/JjXmB
815,You've heard of food deserts. Now ElizabethRenter explores pharmacy deserts. http://ow.ly/Jk0EU
816,"Benzodiazepines (like Xanax &amp; Valium) help control anxiety, but can be habit-forming. http://ow.ly/JkhQl"
817,RT thatcaseyquin: For those with cabin fever -the best fitness apps for when you’re stuck indoors http://t.usnews.com/Z6wo6b USNewsMoney
818,Asthma or COPD – or all of the above? Here's how to tell. http://ow.ly/Jkkk8
819,"[Babies are] doing little science experiments in the bath tub trying to figure out how the world works.” ​http://ow.ly/Jks1i
568511785411555328|Thu Feb 19 20:45:46 +0000 2015|RT NerdWallet: DYK your address may affect your health? http://nerd.me/1AoBN8z via USNewsHealth ElizabethRenter nerdhealth
568502822544781314|Thu Feb 19 20:10:09 +0000 2015|Fact: Excessive snow leads to snow rage. Watch out, Boston! http://ow.ly/JkqRe
568491570246377472|Thu Feb 19 19:25:27 +0000 2015|5 Foods to Fight the Winter Blues"" by TobyAmidor http://ow.ly/JknEe http://pbs.twimg.com/media/B-OwEhRCEAARK1J.jpg"
820,"RT AnnaMedaris: Don't just sit there! (But don't just stand there, either.) What to know about standingdesks http://ow.ly/Jkt5L"
821,Got SAD? 8 ways to feel better via lauraemcmullen http://ow.ly/JkoBM depression
822,"Diets that tell you what not to eat go against all behavioral science logic, says DrSherryPagoto. http://ow.ly/JlSie"
823,Is it a cold or the flu? How to tell &amp; how to treat. http://ow.ly/JlSAj
824,What are the best heart-healthy diets? http://ow.ly/JlSKr hearthealth bestdiets2015
825,"5 fatty foods (and we mean fatty!) you can still enjoy, according to TobyAmidor http://ow.ly/JlZAc bacon mmm"
826,"Are Xanax, Valium &amp; other benzodiazepines more helpful or harmful? http://ow.ly/Jnmz7 anxiety"
827,Heart Disease: Women's Public Enemy No. 1 by ThriveFit http://ow.ly/Jnn6S hearthealth
828,Are you living in a pharmacy desert? http://ow.ly/JnmSw
829,The parents' guide to dealing with anti-vaxxers: http://ow.ly/JnZK2
830,RT thatcaseyquin: Pharmacy deserts: another way your address may affect your health http://t.usnews.com/Z6vrsh USNewsHealth
831,"Are you a vegetarian? Don't make these 5 mistakes, says kafetters http://ow.ly/JpdK3"
